来源ID	来源类型	标题或路径	日期（口径）	项目阶段	主要内容	含用户原始表达	是否完整读取	是否纳入分析	可靠性	备注
S-CHAT-01	Cowork历史任务原始记录	local_88f27a3d 「Competitive game analysis and KPIs」	会话序#88（约2026-07-09）	P1 体验目标	用户口述竞品调研与体验目标一页纸需求，含初版KPI三项	是（首条指令完整）	否（读尾部20条）	是	高	本轮唯一读到完整用户首条指令的会话
S-CHAT-02	Cowork历史任务原始记录	local_73dd0297 「P6 体验重标定计划」	会话序#77（约2026-07-12~14）	P4 重启	用户要求把计划讲成大白话；用户告知已主动回退主分支；用户提出「删旧界面」教训	是（3条长指令）	否（读尾部30条）	是	高	本复盘最高价值来源，含「上个版本的教训」原话
S-CHAT-03	Cowork历史任务原始记录	local_6d24d7f9 「Game experience goals discussion」	会话序#79（约2026-07-10）	P1 体验目标	盲区评审十三条收敛为五定案+三约束+H1-H5假设；首局通关率三改留痕	否（仅读到助手侧收尾）	否（读尾部30条）	是	中	用户表达在更早的消息里，本轮未读到
S-CHAT-04	Cowork历史任务原始记录	local_4510df03 「游戏卡牌系统设计矛盾」	会话序#45（约2026-07-23）	P6 神池构筑	用户带ChatGPT方案回来；Claude逐条核代码并把锚点换成并行合成链数；用户回复「整理成一份正式设计文档」	是（1条短指令）	否（读尾部20条）	是	高	并行链这一提法被记为用户原话，但原句本轮未读到
S-CHAT-05	Cowork历史任务原始记录	local_ed76fa24 「ProjectVL 卡牌构筑系统设计方案」	会话序#44（约2026-07-23）	P6 神池构筑	C0-C8 九个 prompt + 五神35卡设计表交付；提出C3后亲手玩一局再放行C8的检查点	否	否（读尾部20条）	是	中	文中「按你的拍板」字样可反证用户曾拍板，但拍板原文未读到
S-CHAT-06	Cowork历史任务原始记录	local_74afbe0a 「奖励条系统重构方案」	会话序#17（约2026-07-30）	P8 大重构	奖励蓄力条 prompt 从 git stash 恢复；六条硬约束；git雷区	否	否（读尾部14条）	是	中	过程与工程类证据为主
S-CHAT-07	Cowork历史任务原始记录	local_398de36d 「肉鸽卡牌进化机制设计」	会话序#18（约2026-07-30）	P8 大重构	25格矩阵定稿；Claude明确「你的判断我同意」并撤回自己三条主张	否（用户判断经助手转述）	否（读尾部14条）	是	中高	用户判断优于Claude方案的强证据，但用户原句未读到
S-CHAT-08	Cowork历史任务原始记录	local_c531f803 「数值词条系统缺陷审计」	会话序#41（约2026-07-24）	P5 内容扩张	maxHpAdd 词条彻底失效等四项真实缺陷；纠正ChatGPT两处不实项	否	否（读尾部14条）	是	中	展示AI建议须逐条核代码的工作方式
S-CHAT-09	Cowork历史任务原始记录	local_942ff1ab 「ProjectVL BOSS 机制重构方案」	会话序#47（约2026-07-22）	P5 内容扩张	BOSS瞬移根因定位；纠正参考稿画布尺寸与难度倍率错误	否	否（读尾部14条）	是	中	含一次 AskUserQuestion，用户作过范围选择但选项内容未读到
S-CHAT-10	Cowork历史任务原始记录	local_a9441dc2 「Normal drop director design」	会话序#61（约2026-07-16）	P5 内容扩张	掉落导演设计说明；用户贴28个参数要求用清楚移动的语言逐条解释	是（1条长指令含参数表）	否（读尾部14条）	是	高	可读性优先这一工作要求的直接证据
S-CHAT-11	Cowork历史任务原始记录	local_75dac01c 「H5 prototype refactor plan」	会话序#87（约2026-07-07）	P0 工程化	单文件转模块化重构计划：行为契约锁死+6步小步提交+6条验收	否	否（读尾部14条）	是	中	项目工程地基
S-CHAT-12	Cowork历史任务原始记录	local_9d9aedbc 「游戏防御反馈机制」	会话序#40（约2026-07-24）	P6 神池构筑	四类防御效果反馈缺失诊断；新增6种CombatVfx；确定性护栏约束	否（「按你选的」暗示用户选过）	否（读尾部12条）	是	中	绝不新增spawnParticle是Claude替用户定的约束
S-CHAT-13	Cowork历史任务原始记录	local_b7898cb0 「项目优先级规划与任务排序」	会话序#37（约2026-07-27）	P7 工具化	配置编辑器 prompt 建在实际交付 schema 上；15个可写域	否	否（读尾部12条）	是	中	工具化阶段的规划证据
S-CHAT-14	Cowork历史任务原始记录	local_81450cb6 「Game prototype portfolio transformation guide」	2026-08-06	P9 作品集转化	六层展示体系精简；ProjectVL 84分定级；L5可试玩为唯一短板	否	否（读尾部14条）	是	中	本次复盘的直接上游任务
S-CHAT-15	Cowork历史任务原始记录	local_b6c962ce 「验证波重设计方案」	会话序#14（约2026-08-04）	P9 收尾	奖励蓄力条取代经验与遗物后重算第9/10波；extraDrop从onHit挪到onKill的量级影响	否（「你之前定的不碰技能效果」暗示用户定过）	否（读尾部10条）	是	中	含用户曾定过约束的间接证据
S-CHAT-XX	Cowork历史任务（可访问但未读）	其余约 45 个 ProjectVL 相关会话	—	全阶段	见 09_MISSING_EVIDENCE.md §3	未知	否（完全未读）	否	—	可访问但本轮未读，非不可访问
S-MEM-01	项目记忆（摘要式）	.auto-memory/projectvl-game-design-decisions.md	2026-07-08 ~ 07-23（文内）	P1-P6	项目最核心的决策编年史：全自动炮台/多轻度五轴/合成经济仿真/真人试玩转折/回退人工定案/S系列重启/神池C系列	间接（大量「用户拍板」「用户原话」转述）	是	是	中（摘要非原文）	19.8KB，本复盘骨架来源，但全部是 Claude 的归纳
S-MEM-02	项目记忆（摘要式）	.auto-memory/projectvl-experience-target-kpi.md	2026-07-09 / 07-14 / 07-23	P1/P4/P6	竞品校准的时长与受众与注意力预算与KPI；首局通关率三改；8→10波；KPI v2 由 preset 反推	间接	是	是	中	含「用户拍板 hitRate=1 理论上界」等转述
S-MEM-03	项目记忆（摘要式）	.auto-memory/projectvl-content-differentiation-diagnosis.md	2026-07-29（三轮同日修订）	P8 大重构	41卡同质化硬数据；神印产销链；用户三条拍板；引擎红线；chain.spreadStatus	间接（「用户三条拍板」）	是	是	中高	诊断数据可被 scripts/audit_content.py 复跑验证
S-MEM-04	项目记忆（摘要式）	.auto-memory/projectvl-evolution-recipe-system.md	2026-07-30	P8 大重构	25格有向矩阵；7500状态穷举；用户四项拍板；Claude撤回自己三条主张	间接	是	是	中高	数学结论可脚本复算
S-MEM-05	项目记忆（摘要式）	.auto-memory/projectvl-targeting-primitives-gap.md	2026-07-30	P8 大重构	引擎无目标定位层；64/210支跨卡字节级同构；设计指纹夹具+V15/V16	否（纯技术诊断）	是	是	高	可被 grep 与 designFingerprints.json 复验
S-MEM-06	项目记忆（摘要式）	.auto-memory/reward-meter-refactor-prompt.md	2026-07-30	P8 大重构	删经验与遗物改自动抽奖；四项拍板；git雷区	间接	是	是	中	「体验目标=简化+更直接正反馈」是关键设计意图
S-MEM-07	项目记忆（摘要式）	.auto-memory/projectvl-card-face-layout-budget.md	2026-07-31	P9 收尾	卡面尺寸硬预算；dock只剩2px；三条红线测试	否	是	是	高	实测值可复验
S-MEM-08	项目记忆（摘要式）	.auto-memory/projectvl-main-broken-2afc292-recovery.md	2026-07-31	P9 收尾	2afc292 写坏 texts.json 并漏提交5个src文件的恢复记录	否	是	是	高	可被 git 复验
S-MEM-09	项目记忆（摘要式）	.auto-memory/projectvl-git-stash-swallows-untracked-docs.md	2026-07-31	P9 收尾	分支同步自动stash未track文件导致文件消失	否	是	是	高	工程教训
S-MEM-10	项目记忆（摘要式）	.auto-memory/projectvl-job-portfolio-guide.md	2026-08-06	P9 作品集	六层体系；84分；L5短板；四个候选案例强度评级	否	是	是	中	本复盘的直接依据之一
S-MEM-11	项目记忆（摘要式）	.auto-memory/ 另4份（卡牌文案草稿/配置总览/内容审阅/触发器手册）	2026-07-24 ~ 07-29	P7 工具化	四份交付物位置与复跑方式记录	否	是	部分	中	工具链证据，设计思考含量低
S-DOC-01	本地项目文件	docs/P6_体验重标定_反思与重构计划.md	2026-07-12（文内）	P3 转折	仿真全绿对真人无聊；波1精确复盘表；五个根因；四条方法论教训；E1-E7；R0-R5计划	记录了用户试玩结论，非用户执笔	是	是	高（内容）中（作者归属）	本项目最重要的单份文档。作者极可能是 Claude，用户认可后执行
S-DOC-02	本地项目文件	docs/S0_差距盘点报告.md	2026-07-12（文内，07-14追注）	P4 重启	交互清单v2.0逐文件盘点；15项差距；阶段责任边界	否	是（前80行）	是	高	含「回退是已知、主动、非事故」的明确表态
