思考单元ID	日期	项目阶段	问题域	用户原始表达或摘要	观点归属	问题	目标体验	约束	假设	候选方案	比较标准	阶段性决定	依据	测试或实现证据	后续变化	对应Git版本	当前状态	求职价值	来源ID	可信度	待补证内容
TU-01	2026-07-03~07-07	P0 立项与单文件原型	项目定位	立项案与十期单文件迭代（01-立项模板 到 10-全量打包）	【项目文件明确记录】【分析推断】	从零验证一个360度塔防的核心玩法是否成立	可玩、能双击打开的原型	个人独立开发、无美术	单文件HTML足以验证核心循环	无（直接做）	能不能玩起来	先做出可玩单文件原型再谈系统	可玩优先	legacy/single-file/炮台射击_可玩原型_2026-07-07.html 可直接游玩	07-07 转为 Vite+TS 工程	阶段0（07-07，7 commit）	已完成，作为重构基准保留	中：说明「先能玩再谈架构」的务实起点	S-DOC-11,S-DOC-12,S-GIT-01	中	立项案docx与task-records未读，用户最初的设计意图仍缺
TU-02	2026-07-07	P0 工程化	可维护性	把706行单文件IIFE重构为模块化工程，以「行为契约」逐条锁死重构前后一致	【项目文件明确记录】【历史任务原始记录】	原型继续长下去无法安全迭代	不改变任何玩法手感的前提下换掉地基	不得引入行为差异	行为契约可以枚举完整	一次性大重构 / 6步小步提交	可回退性、行为一致性	6步小步提交（归档-平移-抽数据-抽规则补测试-拆表现-收尾），每步可回退	风险控制优先于速度	core 纯规则层38项 Vitest 全绿；main.ts 收敛为薄胶水层	后续所有 AI 协作都建立在这层边界上	阶段0（07-07）	仍是现行架构	高：「为AI协作预留安全边界」是可讲的工程判断	S-CHAT-11,S-DOC-09,S-GIT-01	中高	重构决策由谁先提出未确认
TU-03	2026-07-08	P1 体验目标	核心玩法	全自动炮台定案；「有限行动次数」机制彻底砍掉；单局结构=固定波次+Boss	【用户明确提出】【项目记忆】	玩家的注意力该花在哪里	玩家只管卡牌，不管瞄准与射击	竞品按合成塔防选	自动射击不会让玩家无事可做	手动瞄准 / 全自动	注意力预算归属	全自动炮台，砍掉有限行动次数	把操作预算全部留给卡牌决策	后续所有战斗设计都建立在此前提上	07-12 真人试玩证明「手上轻」被做成了「屏幕空」（见TU-14）	—	仍有效	高：一个至今未被推翻的根设计约束	S-MEM-01	中	记忆记为「已定决策」，未标明由谁提出；无原始对话佐证
TU-04	2026-07-09	P1 体验目标	竞品与KPI	「我的目标是交付：体验目标一页纸——目标受众画像、单局时长（建议先按8–12分钟）、难度曲线意图图（张力峰值放在每波末与Boss前，波间是呼吸口）、注意力预算说明（每分钟需要玩家做几次决策）。关键产出是可检验的KPI，例如：首局通关率目标~30–40%、平均每波合成次数≥2、掉落过期率≤20%。没有KPI，后面数值调优没有靶子。」	【用户明确提出】【历史任务原始记录】	没有可检验目标就无法调数值	张力峰值在波末与Boss前，波间是呼吸口	调研须联网取当期市场数据	竞品数据可以校准自己的假设	自己拍数值 / 竞品调研反推	是否可检验、是否有埋点方法	先做竞品调研再定KPI	「没有KPI，后面数值调优没有靶子」	docs/ProjectVL_体验目标一页纸.docx + 三池竞品调研附录	单局时长8-12分钟经调研改为10-14分钟；通关率30-40%三改至15-25%	—	一页纸仍在；KPI表后被清空待重做	极高：这是完整「体验目标→可检验KPI」链路的起点，且是用户自己完整表述的	S-CHAT-01,S-MEM-02	高	—
TU-05	2026-07-10	P1 体验目标	定位收敛	定位一句话=「手上轻、脑子重、单局短」（易上手难精通的 Brotato-lite）；即时反应形态=时刻型	【用户明确提出】【项目记忆】	「多轻度」到底轻在哪一轴	决策稀疏但限时，压力来自错过时机而非APM	与波内1-3次/分注意力预算兼容	时刻型压力不需要高APM	APM型 / 时刻型	是否与注意力预算自洽	时刻型（掉落过期、解围窗口关闭）	把压力来源从手速换成时机	掉落过期率成为KPI之一	07-12 发现「手上轻」被实现成「屏幕空」，此定位未变但实现方式全改	—	仍有效	高：一句话定位+五轴闭合，是策划基本功的直接展示	S-MEM-01	中	五轴讨论的原始对话未读到
TU-06	2026-07-10	P1 体验目标	失败惩罚	失败惩罚=保底成长型（失败也结算局外货币，无复活救场，保住Boss前张力峰值）	【用户明确提出】【项目记忆】	首局通关率定得很低时留存靠什么撑	保住Boss前的张力峰值	无复活救场	保底成长能吸收首局挫败	高通关率 / 低通关率+保底成长	是否保住张力峰值	低通关率+保底成长	严格对齐VS/Brotato「首胜需数局」	首局通关率KPI最终定15-25%	经历30-40%→50-60%→15-25%三次改动，记忆里刻意留痕	—	仍有效但从未被真人验证	高：三次改动的痕迹本身就是「愿意推翻自己」的证据	S-MEM-01,S-MEM-02,S-CHAT-03	中	三次改动的原始理由链只有第三次有记录
TU-07	2026-07-10	P1 技能体系	卡牌规模	用户明确「6–8张太保守、无需定死数量」	【用户明确提出】【项目记忆】	内容规模该不该先定死	不详（此处是产能判断而非体验判断）	实装面仍受工期约束	设计面可以先放开	6-8张 / 12张 / 不定死	设计面与实装面是否要同一个数	设计面放宽到12张，实装面维持批次1=7张	把「设计规模」与「实装预算」拆成两个数	P2设计表12卡；批次1七张入P5	最终扩到五神35张基础卡，实际实装60张	阶段2（07-13~17）批次1/2实装	已远超原规模	中高：能展示「设计面与实装面分开管理」的意识	S-MEM-01	中	原话被记忆引用，但完整语境未读到
TU-08	2026-07-10	P1 技能体系	卡牌质变	废除纯数值加成卡；星级要质变（1★机制/2★+修饰/3★形态变换）；一卡两用（装备=持续规则改变，消耗=同一幻想的压缩即时版）	【用户明确提出】【项目记忆】	数值加成卡让构筑没有形状	每张卡都要改变规则而不只是改变数字	数值加成移入升级三选一perk池	星级质变比星级堆数更有构筑感	纯数值卡 / 全功能型卡	是否产生构筑决策	全部改功能型技能	数值加成不产生决策	P2设计表 + skills-schema v0.1.0（原子库31/触发器8/硬规则R1-R7）	星级模板后被合成经济仿真推翻重构为1★素材/2★成形/3★变换；再后扩到6★双质变节点	—	仍是现行卡牌设计的根原则	极高：「废除纯数值卡」是战斗策划最能直接讲的价值判断	S-MEM-01	中	原始表达未读到
TU-09	2026-07-10	P1 风险机制	主动风险选择	风险选择机制定案=精英Bounty（点击接单=集火+精英狂暴，赏金掉落肥而急）；诱饵降为控制类卡牌	【用户明确认可】【项目记忆】	「位置→注意力」这条约束怎么变成机制	让玩家主动选择要不要冒险	不接单无惩罚（opt-in风险）	险区原则可以内置在奖励里	岔路波次/精英bounty/险区掉落/诱饵	是否opt-in、是否复用点击动词	精英Bounty	险区原则内置在「肥而急」的赏金掉落里	07-16 六个commit一天走完设计-实装-验证闭环	诱饵从风险机制降级为控制类卡牌decoy	168f60c~86289b4（07-16）	已实装	高：候选方案清单+筛选理由+一日闭环，是完整案例	S-MEM-01,S-GIT-01	中	候选清单由谁提出未确认；「用户明确」四字来自记忆
TU-10	2026-07-10	P1 合成经济	星级上限	蒙特卡洛4000局/配置得出：上限3★（4★否决：首件@31拾取太迟）；二合（三合否决：合成8.8次/局击穿KPI≥16）；入装门槛2★	【Claude提出，用户未确认】→【用户明确认可】【项目记忆】	星级上限与合成方式该定几	首件3★要在玩家还在意的时候到手	拾取锚38-45次/局	抽象仿真能定序数比较	3★/4★上限；二合/三合；门槛1/2/3★	首件时机、是否击穿注意力KPI、体验而非经济	3★上限+二合+门槛2★	仿真序数结论+体验判断（门槛在经济上无差异，按体验定）	docs/sim/merge_sim.py，结论D1-D6	07-12 用户人工推翻为6★上限、3★入装	—	已推翻	高：这是「数据结论被人工判断推翻」案例的前半段	S-MEM-01	中	用户是否在此时认可，无直接证据
