思考或决定	聊天或文档来源	日期	Git版本或提交	实际修改	测试结果	后续修正	当前状态	证据强度
单文件原型转模块化，用行为契约锁死行为一致	会话 local_75dac01c / docs/H5重构计划_ClaudeCode提示词.md	2026-07-07	阶段0，7个commit（归档/平移/refactor数据·规则·表现/docs）	抽出core纯规则层、render/ui/input三层分离、数值文案外置到src/data/*.json	core层38项Vitest全绿	后续所有AI协作建立在此边界上	现行架构	强（commit分组语义化，可逐条对照）｜[v2] 不变；重构决策由谁先提出仍未确认
全自动炮台、砍掉有限行动次数、固定波次+Boss	记忆 projectvl-game-design-decisions（07-08）｜[v2] + legacy/task-records/04、07、08（早于Git仓库）+ docs/下一阶段_决策清单与任务计划.md	2026-07-08	无直接commit（设计期，早于工程化后的首个玩法commit）	—	—	至今未被推翻	有效	**中（上调，但性质改变）**｜[v2] 原判「弱：只有记忆转述」。本轮在 legacy/task-records 找到硬证据：04 已把炮台改自动并验证可玩、07 加入行动次数、08 取消——**均早于 07-08**。所以 07-08 不是决策点而是追认点（TU-84）。证据变强了，但它证明的是另一件事
体验目标一页纸+可检验KPI	会话 local_88f27a3d（用户原话）→ docs/ProjectVL_体验目标一页纸.docx｜[v2] + S-RAW-01 RQ-1-03（逐字原文）	2026-07-09	docs commit（阶段1「添加当前版本策划与模拟资料」）	产出一页纸docx + 三池竞品调研附录 + KPI表	不适用	单局时长8-12→10-14分；通关率30-40→15-25%；07-23波数8→10	一页纸现行；KPI表已清空	**极强（上调）**｜[v2] 上一轮标「强」，依据是 Cowork 会话；本轮在 ChatGPT 侧找到**完全独立的第二个一手来源**，两处逐字一致。⚠ 30-40% 是复述任务书既有数字，非当场拍板
废除纯数值加成卡、星级质变、一卡两用	记忆 projectvl-game-design-decisions（07-10）→ docs/P2_技能体系框架与首批卡牌设计表.md｜[v2] + S-RAW-01 RQ-1-01 + S-COWORK2-31（TU-46）	2026-07-10	阶段1「定案六星技能与不可逆装备设计」	skills-schema v0.1.0：31原子/8触发器/硬规则R1-R7	不适用	星级模板被合成经济仿真重构；再扩到6★双质变节点	仍是现行卡牌设计根原则	**极强（上调）**｜[v2] 原标「中：用户原话仅记忆转述」。本轮找到**两个独立一手来源的逐字原文**（ChatGPT 07-08 首条消息 + Cowork P0 会话），这是全表证据最硬的一条价值判断
4000局仿真定3★上限/二合/门槛2★	记忆 + docs/sim/merge_sim.py	2026-07-10	docs/sim 相关commit	merge_sim.py 脚本 + P4前置结论D1-D6文档	4000局/配置	07-12被人工推翻为6★/3★入装；结论文档随回退删除	已推翻，脚本待按6档重写（未做）	中｜[v2] 不变。阶段一/二检索「蒙特卡洛/4000局/序数」仅见 ChatGPT 建议做仿真器，仿真结论讨论与用户认可过程**两条路径均未找到**
结论强度分级（序数/不敏感性/默认值/设计锚）	记忆 projectvl-game-design-decisions（07-10 用户质疑后复审）	2026-07-10	无对应commit（纯方法论）	—	—	两天后被自己违反，见07-12	方法论有效	**弱（不变，且已确认补不上）**｜[v2] 阶段一/二 + 32个Cowork会话检索「序数/不敏感性/设计锚/拾取锚/38-45/手牌7格」**全部零命中**。上一轮标为「最想补的一段」，本轮两条独立路径都没补上
P3 配置六域+通用效果解释器	项目总览.md / 记忆	2026-07-12	阶段1「重构配置并实现技能效果系统」	config六域+variants+深合并加载器；31原子8触发器+passive；schema v0.3.0	测试38→108全绿	支撑后来60卡25配方而未重写引擎	现行架构	强｜[v2] 不变
真人试玩判定无聊，五个根因，四条方法论	docs/P6_体验重标定_反思与重构计划.md｜[v2] 试玩当场原话：四条路径均未找到	2026-07-12	阶段1 三条docs commit（07-12）	产出反思文档 + 新P6计划	不适用（这是否定既有验证）	导致回退、KPI重建、流程重排	项目主线叙事	强（文档与推演）／**弱（当场原话）**｜[v2] 必须分层：27300 局数字经 bash 核对属实（P6文档第11行）、波1推演与主观描述逐项吻合——这两层强；但**「游戏极其无聊」的当场原始描述在四条路径中全部未找到**，现有依据是事后记载。另：根因2（锚错品类）有 07-10 先兆原话 RQ-1-09 第6条
主动回退到P3完成态，废弃P4/P4.1/P5	会话 local_73dd0297（用户原话）/ docs/S0_差距盘点报告.md	2026-07-12	tag restart-s0；「制定可玩原型重启计划」「完成S0设计代码差距盘点」	P4/P4.1/P5代码与结论废弃，相关文档删除	不适用	S0报告定性为已知、主动、非事故	已完成	强｜[v2] 不变（tag + 用户原话 + 文档三重）
铁律一删旧界面 / 铁律二真人验收	会话 local_73dd0297（用户原话）/ docs/可玩原型_重启开发总计划.md §0｜[v2] + S-RAW-02 RQ-2-01（逐字，独立二次来源）	2026-07-12	阶段1 移动端交互专题（07-13~14）	竖屏三分区布局、指针输入统一、pointerRouter	验收=线框逐项截图+grep零残留	铁律二在C系列被继续引用	已执行	**强（事故观察与授权）／中（规则化命名）**｜[v2] 用户原话在 ChatGPT 侧独立二次证实；但把它提炼成「两条铁律」的执笔人是 AI（文风推断，TU-85）。观察归用户、命名归AI
